Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1961","1961","ha","21200","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1961","1961","kg/ha","193.4","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1961","1961","t","4100","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1962","1962","ha","24410","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1962","1962","kg/ha","164.7","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1962","1962","t","4020","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1963","1963","ha","25000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1963","1963","kg/ha","180","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1963","1963","t","4500","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1964","1964","ha","25000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1964","1964","kg/ha","220","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1964","1964","t","5500","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1965","1965","ha","22800","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1965","1965","kg/ha","328.9","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1965","1965","t","7500","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1966","1966","ha","22200","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1966","1966","kg/ha","283.8","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1966","1966","t","6300","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1967","1967","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1967","1967","kg/ha","304.3","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1967","1967","t","7000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1968","1968","ha","18000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1968","1968","kg/ha","333.3","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1968","1968","t","6000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1969","1969","ha","17000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1969","1969","kg/ha","382.4","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1969","1969","t","6500","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1970","1970","ha","18600","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1970","1970","kg/ha","392.5","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1970","1970","t","7300","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1971","1971","ha","19000","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1971","1971","kg/ha","342.1","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1971","1971","t","6500","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1972","1972","ha","16000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1972","1972","kg/ha","437.5","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1972","1972","t","7000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1973","1973","ha","15000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1973","1973","kg/ha","440","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1973","1973","t","6600","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1974","1974","ha","12000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1974","1974","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1974","1974","t","6000","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1975","1975","ha","11400","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1975","1975","kg/ha","596.5","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1975","1975","t","6800","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01610","Coffee, green","1976","1976","ha","15500","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01610","Coffee, green","1976","1976","kg/ha","625.8","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","1976","1976","t","9700","A","Official figure",""
