Ngày,Giá Dự Báo (USD),Biên Dưới CI 95% (USD),Biên Trên CI 95% (USD)
29/01/2026,4657.79,4072.59,5243.0
30/01/2026,4657.58,4072.38,5242.79
31/01/2026,4657.59,4072.39,5242.79
01/02/2026,4657.73,4072.53,5242.93
02/02/2026,4657.93,4072.73,5243.13
03/02/2026,4658.13,4072.93,5243.33
04/02/2026,4658.29,4073.09,5243.49
05/02/2026,4658.41,4073.21,5243.61
06/02/2026,4658.49,4073.29,5243.69
07/02/2026,4658.52,4073.32,5243.72
08/02/2026,4658.53,4073.33,5243.73
09/02/2026,4658.52,4073.32,5243.72
10/02/2026,4658.49,4073.29,5243.69
11/02/2026,4658.46,4073.26,5243.66
12/02/2026,4658.43,4073.23,5243.63
13/02/2026,4658.4,4073.19,5243.6
14/02/2026,4658.37,4073.17,5243.57
15/02/2026,4658.34,4073.14,5243.54
16/02/2026,4658.32,4073.12,5243.52
17/02/2026,4658.3,4073.1,5243.51
18/02/2026,4658.29,4073.09,5243.49
19/02/2026,4658.28,4073.08,5243.48
20/02/2026,4658.27,4073.07,5243.47
21/02/2026,4658.27,4073.06,5243.47
22/02/2026,4658.26,4073.06,5243.46
23/02/2026,4658.26,4073.06,5243.46
24/02/2026,4658.25,4073.05,5243.46
25/02/2026,4658.25,4073.05,5243.45
26/02/2026,4658.25,4073.05,5243.45
27/02/2026,4658.25,4073.05,5243.45
